Date,Gold,USD_IDR,DXY,Oil,SP500,NASDAQ,VIX,GVZ,Silver,Copper,Platinum,Palladium,US10Y,USD_CNY,Nikkei,DAX
2020-08-18,1999.4000244140625,14969.400390625,92.2699966430664,42.88999938964844,3389.780029296875,11210.83984375,21.510000228881836,26.459999084472656,28.048999786376953,2.9709999561309814,971.0999755859375,2225.199951171875,0.6690000295639038,6.93179988861084,23051.080078125,12881.759765625
2020-08-19,1958.699951171875,14598.072265625,92.88999938964844,42.93000030517578,3374.85009765625,11146.4599609375,22.540000915527344,28.149999618530273,27.315000534057617,3.0190000534057617,952.0,2176.0,0.675000011920929,6.92080020904541,23110.609375,12977.330078125
2020-08-20,1933.800048828125,14694.197265625,92.79000091552734,42.58000183105469,3385.510009765625,11264.9501953125,22.719999313354492,25.90999984741211,27.121999740600586,2.9700000286102295,923.0999755859375,2183.800048828125,0.6439999938011169,6.9191999435424805,22880.619140625,12830.0
2020-08-21,1934.5999755859375,14543.412109375,93.25,42.34000015258789,3397.159912109375,11311.7998046875,22.540000915527344,25.959999084472656,26.707000732421875,2.9135000705718994,922.2999877929688,2177.199951171875,0.6399999856948853,6.91480016708374,22920.30078125,12764.7998046875
2020-08-24,1927.699951171875,14764.0,93.30000305175781,42.619998931884766,3431.280029296875,11379.7197265625,22.3700008392334,23.860000610351562,26.58799934387207,2.922499895095825,920.7999877929688,2162.60009765625,0.6460000276565552,6.918499946594238,22985.509765625,13066.5400390625
2020-08-25,1911.800048828125,14629.400390625,93.0199966430664,43.349998474121094,3443.6201171875,11466.4697265625,22.030000686645508,22.760000228881836,26.253999710083008,2.930999994277954,930.5999755859375,2169.300048828125,0.6819999814033508,6.918900012969971,23296.76953125,13061.6201171875
2020-08-26,1940.699951171875,14607.7001953125,93.01000213623047,43.38999938964844,3478.72998046875,11665.0595703125,23.270000457763672,24.790000915527344,27.43000030517578,2.9595000743865967,936.4000244140625,2188.199951171875,0.6869999766349792,6.911900043487549,23290.859375,13190.150390625
2020-08-27,1921.5999755859375,14447.3828125,93.01000213623047,43.040000915527344,3484.550048828125,11625.33984375,24.469999313354492,23.079999923706055,27.010000228881836,2.9649999141693115,925.5999755859375,2159.199951171875,0.7459999918937683,6.884900093078613,23208.859375,13096.3603515625
2020-08-28,1964.5999755859375,14446.00390625,92.37000274658203,42.970001220703125,3508.010009765625,11695.6298828125,22.959999084472656,23.190000534057617,27.610000610351562,2.994999885559082,937.5,2197.800048828125,0.7289999723434448,6.889200210571289,22882.650390625,13033.2001953125
2020-08-31,1967.5999755859375,14618.0,92.13999938964844,42.61000061035156,3500.31005859375,11775.4599609375,26.40999984741211,24.31999969482422,28.437000274658203,3.0409998893737793,935.7000122070312,2245.39990234375,0.6930000185966492,6.8643999099731445,23139.759765625,12945.3798828125
2020-09-01,1968.199951171875,14599.7001953125,92.33999633789062,42.7599983215332,3526.64990234375,11939.669921875,26.1200008392334,23.0,28.486000061035156,3.009500026702881,950.5,2277.199951171875,0.671999990940094,6.847700119018555,23138.0703125,12974.25
2020-09-02,1934.4000244140625,14818.599609375,92.8499984741211,41.5099983215332,3580.840087890625,12056.4404296875,26.56999969482422,23.56999969482422,27.249000549316406,3.003000020980835,902.0,2242.89990234375,0.6510000228881836,6.827499866485596,23247.150390625,13243.4296875
2020-09-03,1927.5999755859375,14565.1474609375,92.73999786376953,41.369998931884766,3455.06005859375,11458.099609375,33.599998474121094,23.68000030517578,26.735000610351562,2.9579999446868896,887.5999755859375,2297.0,0.621999979019165,6.837299823760986,23465.529296875,13057.76953125
2020-09-04,1923.9000244140625,14545.9873046875,92.72000122070312,39.77000045776367,3426.9599609375,11313.1298828125,30.75,21.979999542236328,26.576000213623047,3.0464999675750732,896.2999877929688,2318.60009765625,0.7210000157356262,6.845799922943115,23205.4296875,12842.66015625
2020-09-07,1923.9000244140625,14741.0,92.72000122070312,39.77000045776367,3426.9599609375,11313.1298828125,30.75,21.979999542236328,26.576000213623047,3.0464999675750732,896.2999877929688,2318.60009765625,0.7210000157356262,6.8414998054504395,23089.94921875,13100.2802734375
2020-09-08,1933.0,14795.0,93.4800033569336,36.7599983215332,3331.840087890625,10847.6904296875,31.459999084472656,22.489999771118164,26.86400032043457,3.012500047683716,908.4000244140625,2281.199951171875,0.6840000152587891,6.829500198364258,23274.130859375,12968.330078125
2020-09-09,1944.699951171875,14915.2001953125,93.26000213623047,38.04999923706055,3398.9599609375,11141.5595703125,28.809999465942383,21.65999984741211,26.954999923706055,3.0399999618530273,923.0999755859375,2294.0,0.703000009059906,6.845099925994873,23032.5390625,13237.2099609375
2020-09-10,1954.199951171875,14874.2001953125,93.33999633789062,37.29999923706055,3339.18994140625,10919.58984375,29.709999084472656,21.260000228881836,27.163000106811523,2.986999988555908,939.4000244140625,2307.39990234375,0.6850000023841858,6.8317999839782715,23235.470703125,13208.8896484375
2020-09-11,1937.800048828125,14857.470703125,93.33000183105469,37.33000183105469,3340.969970703125,10853.5498046875,26.8700008392334,20.200000762939453,26.73900032043457,3.0339999198913574,938.0,2313.10009765625,0.6690000295639038,6.8333001136779785,23406.490234375,13202.83984375
2020-09-14,1953.0999755859375,14883.0,93.06999969482422,37.2599983215332,3383.5400390625,11056.650390625,25.850000381469727,20.90999984741211,27.229000091552734,3.066499948501587,957.0999755859375,2306.699951171875,0.6710000038146973,6.833399772644043,23559.30078125,13193.66015625
2020-09-15,1956.300048828125,14983.5,93.05000305175781,38.279998779296875,3401.199951171875,11190.3203125,25.59000015258789,20.31999969482422,27.34600067138672,3.062999963760376,980.7999877929688,2396.300048828125,0.6790000200271606,6.809100151062012,23454.890625,13217.669921875
2020-09-16,1960.199951171875,14869.599609375,93.20999908447266,40.15999984741211,3385.489990234375,11050.4697265625,26.040000915527344,20.079999923706055,27.354999542236328,3.058000087738037,972.2999877929688,2399.89990234375,0.6869999766349792,6.780300140380859,23475.529296875,13255.3701171875
2020-09-17,1940.0,14812.5869140625,92.97000122070312,40.970001220703125,3357.010009765625,10910.2802734375,26.459999084472656,19.950000762939453,26.985000610351562,3.066499948501587,930.0,2317.60009765625,0.6840000152587891,6.753699779510498,23319.369140625,13208.1201171875
2020-09-18,1952.0999755859375,14788.0,92.93000030517578,41.11000061035156,3319.469970703125,10793.2802734375,25.829999923706055,20.219999313354492,27.027999877929688,3.1135001182556152,937.5,2364.0,0.6940000057220459,6.764100074768066,23360.30078125,13116.25
2020-09-21,1901.199951171875,14728.0,93.54000091552734,39.310001373291016,3281.06005859375,10778.7998046875,27.780000686645508,21.600000381469727,24.298999786376953,3.0295000076293945,875.0999755859375,2266.10009765625,0.6710000038146973,6.76800012588501,23360.30078125,12542.4404296875
2020-09-22,1898.5999755859375,14839.2001953125,93.98999786376953,39.599998474121094,3315.570068359375,10963.6396484375,26.860000610351562,21.6299991607666,24.441999435424805,3.059000015258789,856.5,2216.0,0.6639999747276306,6.803699970245361,23360.30078125,12594.3896484375
2020-09-23,1859.9000244140625,14742.5859375,94.38999938964844,39.93000030517578,3236.919921875,10632.990234375,28.579999923706055,23.43000030517578,23.013999938964844,2.993499994277954,842.2999877929688,2244.699951171875,0.6759999990463257,6.77839994430542,23346.490234375,12642.9697265625
2020-09-24,1868.300048828125,14803.9853515625,94.3499984741211,40.310001373291016,3246.590087890625,10672.26953125,28.510000228881836,23.40999984741211,23.118000030517578,2.9690001010894775,837.0999755859375,2213.0,0.6660000085830688,6.808899879455566,23087.8203125,12606.5703125
2020-09-25,1857.699951171875,14839.578125,94.58000183105469,40.25,3298.4599609375,10913.5595703125,26.3799991607666,22.09000015258789,23.017000198364258,2.9730000495910645,841.0999755859375,2207.699951171875,0.6589999794960022,6.827700138092041,23204.619140625,12469.2001953125
2020-09-28,1872.800048828125,14863.0,94.26000213623047,40.599998474121094,3351.60009765625,11117.5302734375,26.190000534057617,22.010000228881836,23.527999877929688,2.989500045776367,881.9000244140625,2258.5,0.6629999876022339,6.822800159454346,23511.619140625,12870.8701171875
2020-09-29,1894.300048828125,14893.599609375,93.88999938964844,39.290000915527344,3335.469970703125,11085.25,26.270000457763672,23.280000686645508,24.3799991607666,2.9835000038146973,887.5,2320.10009765625,0.6449999809265137,6.810800075531006,23539.099609375,12825.8203125
